,0
208,Maxentius declared emperor at Rome. A. D. 306. 28th Oct.
209,Maximian re-aſſumes the purple.
210,Defeat and death of Severus.
211,A. D. 307. February.
212,"Maximian gives his daughter Fauſta, and the title of Auguſtus, to Conſtantine. A. D. 307. March 31."
213,Galerius invades Italy.
214,His retreat.
215,Elevation of Licinius to the rank of Auguſtus;
216,A. D. 307. Nov. 11.
217,and of Maximin.
218,Six emperors. A. D. 308.
219,Misfortunes of Maximian.
220,His death. A. D. 310. February.
221,Death of Galerius. A. D. 311. May.
222,His dominion ſhared between Maximin and Licinius.
223,Adminiſtration of Conſtantine in Gaul. A. D. 306—312.
224,Tyranny of Maxentius in Italy and Africa. A. D. 306—312.
225,Civil war between Conſtantine and Maxentius. A. D. 312.
226,Preparations.
227,Conſtantine paſſes the Alps.
228,Battle of Turin.
229,Siege and battle of Verona.
230,Indolence and fears of Maxentius.
231,Victory of Conſtantine near Rome. A. D. 312. 28th Oct.
232,"His reception,"
233,and conduct at Rome.
234,His alliance with Licinius. A. D. 313. March.
235,War between Maximin and Licinius. A. D. 313.
236,"The defeat, April 30,"
237,"and death of the former.Auguſt.
"
238,Cruelty of Licinius.
239,Unfortunate fate of the empreſs Valeria and her mother.
240,Quarrel between Conſtantine and Licinius. A. D. 314.
241,Firſt civil war between them.
242,Battle of Cibalis. A. D. 315. 8th Oct.
243,Battle of Mardia.
244,"
Treaty of peace.
December.
"
245,General peace and laws of Conſtantine. A. D. 315—323.
246,The Gothic war.
247,A. D. 322.
248,Second civil war between Conſtantine and Licinius. A. D. 323.
249,Battle of Hadrianople. A. D. 323. July 3.
250,"Siege of Byzantium, and naval victory of Criſpus."
251,Battle of Chryſopolis.
252,Submiſſion and death of Licinius.
253,Re-union of the empire. A. D. 324.
254,Importance of the inquiry.
255,Its difficulties.
256,Five cauſes of the growth of Chriſtianity.
257,THE FIRST CAUSE. Zeal of the Jews.
258,Its gradual increaſe.
259,Their religion better ſuited to defence than to conqueſt.
260,More liberal zeal of Chriſtianity.
261,Obſtinacy and reaſons of the believing Jews.
262,The Nazarene church of Jeruſalem.
263,The Ebionites.
264,The Gnoſtics.
265,"Their ſects, progreſs, and influence."
266,The daemons conſidered as the gods of antiquity.
267,Abhorrence of the Chriſtians for idolatry.
268,Ceremonies.
269,Arts.
270,Feſtivals.
271,Zeal for Chriſtianity.
272,THE SECOND CAUSE. The doctrine of the immortality of the ſoul among the philoſophers;
273,among the Pagans of Greece and Rome;
274,among the barbarians;
275,among the Jews;
276,among the Chriſtians.
277,Approaching end of the world.
278,Doctrine of the Millennium.
279,Conflagration of Rome and of the world.
280,The Pagans devoted to eternal puniſhment.
281,Were often converted by their fears.
282,THE THIRD CAUSE. Miraculous powers of the primitive church.
283,Their truth conteſted.
284,Our perplexity in defining the miraculous period.
285,Uſe of the primitive miracles.
286,THE FOURTH CAUSE. Virtues of the firſt Chriſtians.
287,Effects of their repentance.
288,Care of their reputation.
289,Morality of the fathers.
290,Principles of human nature.
291,The primitive Chriſtians condemn pleaſure and luxury.
292,Their ſentiments concerning marriage and chaſtity.
293,Their averſion to the buſineſs of war and government.
294,THE FIFTH CAUSE. The Chriſtians active in the government of the church.
295,Its primitive freedom and equality.
296,Inſtitution of biſhops as preſidents of the college of preſbyters.
297,Provincial councils.
298,Union of the church.
299,Progreſs of epiſcopal authority.
300,Pre-eminence of the metropolitan churches.
301,Ambition of the Roman pontiff.
302,Laity and clergy.
303,Oblations and revenue of the church.
304,Diſtribution of the revenue.
305,Excommunication.
306,Public penance.
307,The dignity of epiſcopal government.
308,Recapitulation of the five cauſes.
309,Weakneſs of polytheiſm.
310,"The ſcepticiſm of the Pagan world proved favourable to the new religion,"
311,as well as the peace and union of the Roman empire.
312,Hiſtorical view of the progreſs of Chriſtianity
313,in the Eaſt.
314,The church of Antioch.
315,In Egypt.
316,In Rome.
317,In Africa and the weſtern provinces.
318,Beyond the limits of the Roman empire.
319,General proportion of Chriſtians and Pagans.
320,Whether the firſt Chriſtians were mean and ignorant.
321,Some exceptions with regard to learning;
322,with regard to rank and fortune.
323,Chriſtianity moſt favourably received by the poor and ſimple.
324,Rejected by ſome eminent men of the firſt and ſecond centuries.
325,Their neglect of prophecy
326,and of miracles.
327,General ſilence concerning the darkneſs of the Paſſion.
328,Chriſtianity perſecuted by the Roman emperors.
329,Inquiry into their motives.
330,Rebellious ſpirit of the Jews.
331,Toleration of the Jewiſh religion.
332,"The Jews were a people which followed, the Chriſtians a ſect which deſerted, the religion of their fathers."
333,"Chriſtianity accuſed of atheiſm, and miſtaken by the people and philoſophers."
334,The union and aſſemblies of the Chriſtians conſidered as a dangerous conſpiracy.
335,Their manners calumniated.
336,Their imprudent defence.
337,Idea of the conduct of the emperors towards the Chriſtians.
338,They neglected the Chriſtians as a ſect of Jews.
339,The fire of Rome under the reign of Nero.
340,"Cruel puniſhment of the Chriſtians, as the incendiaries of the city."
341,Remarks on the paſſage of Tacitus relative to the perſecution of the Chriſtians by Nero.
342,Oppreſſion of the Jews and Chriſtians by Domitian.
343,Execution of Clemens the conſul.
344,Ignorance of Pliny concerning the Chriſtians.
345,Trajan and his ſucceſſors eſtabliſh a legal mode of proceeding againſt them.
346,Popular clamours.
347,Trials of the Chriſtians.
348,Humanity of the Roman magiſtrates.
349,Inconſiderable number of martyrs.
350,Example of Cyprian biſhop of Carthage.
351,His danger and flight.
352,A. D. 257. His baniſhment.
353,His condemnation.
354,His martyrdom.
355,Various incitements to martyrdom.
356,Ardour of the firſt Chriſtians.
357,Gradual relaxation.
358,Three methods of eſcaping martyrdom.
359,Alternatives of ſeverity and toleration.
360,The ten perſecutions.
361,Suppoſed edicts of Tiberius and Marcus Antoninus.
362,State of the Chriſtians in the reigns of Commodus and Severus. A. D. 180.
363,A. D. 198.
364,Of the ſucceſſors of Severus.
365,A. D. 211—249.
366,A. D. 235.
367,"Of Maximin, Philip, and Decius."
368,A. D. 244.
369,A. D. 249.
370,"Of Valerian, Gallienus, and his ſucceſſors."
371,A. D. 253—260.
372,"Paul of Samoſata, his manners."
373,A. D. 260.
374,He is degraded from the ſee of Antioch.
375,A. D. 270.
376,The ſentence is executed by Aurelian.
377,A. D. 274.
378,Peace and proſperity of the church under Diocletian.
379,A. D. 284—303.
380,Progreſs of zeal and ſuperſtition among the Pagans.
381,Maximian and Galerius puniſh a few Chriſtian ſoldiers.
382,Galerius prevails on Diocletian to begin a general perſecution.
383,Demolition of the church of Nicomedia. A. D. 303. 23d Feb.
384,The firſt edict againſt the Chriſtians. 24th of February.
385,Zeal and〈…〉a Chriſtian.
386,Fire of the palace of Nicomedia imputed to the Chriſtians.
387,Execution of the firſt edict.
388,Demolition of the churches.
389,Subſequent edicts.
390,"General idea of the perſecution,"
391,In the weſtern provinces under Conſtantius and Conſtantine;
392,"in Italy and Africa, under Maximian and Severus;"
393,under Maxentius;
394,"in Illyricum and the Eaſt, under Galerius and Maximian."
395,Galerius publiſhes an edict of toleration.
396,Peace of the church.
397,Maximin prepares to renew the perſecution.
398,End of the perſecutions.
399,Probable account of the ſufferings of the martyrs and confeſſors.
400,Number of martyrs.
401,Concluſion.
