title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Captain Pierce,1786,1786-01-01,1786-01-01,stipple engraving,2006.83.7,cmoa:things/88da1610-d44e-4eb1-8a95-08c07783bd56,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,8.0,10.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34305,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39213&size=Medium,cmoa:parties/eaa72102-4a31-4002-92b9-a77dcc26e924,Person,Isaac Cruikshank,"Cruikshank, Isaac",printmaker,English,1764-01-01,1810-01-01," Edinburgh (Edinburgh, Scotland, United Kingdom)"," London (Greater London, England, United Kingdom)"
Mrs. Montague,1798,1798-01-01,1798-01-01,stipple engraving,2006.83.8,cmoa:things/b99429a7-dbd4-4cd3-bcca-bcf99ecfdeb8,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,8.5,10.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34307,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104112&size=Medium,cmoa:parties/025b31f8-a7c2-424e-b44e-a9a42ad9ab1a|cmoa:parties/009a6704-7930-4107-bed9-40acd19278bc,Person|Person,Ridley|Sir Joshua Reynolds,"Ridley|Reynolds, Joshua",printmaker|after,undetermined|British,1792-01-01|1723-07-16,1804-01-01|1792-02-23,"|Plympton, England","|London, England"
J. Winkelmann [Johann Joachim Winckelmann],c. 1768-1780,1758-01-01,1790-01-01,stipple engraving,2006.83.9,cmoa:things/f2d6fd0d-e8d2-43b9-9558-c69813b1112d,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,8.0,10.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34309,"Staedtisches Museum zu Leipzig ( Lugt 1669 on verso) deaccessioned (stamped ""Abgegeben v. museum d. B. K. Liepzig) on verso; Rolf and Magda Loeber, Pittsburgh

(LWL Nov 2014)",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104123&size=Medium,cmoa:parties/21e6e416-7291-47b9-9fe7-5c7ff77cf42e|cmoa:parties/10f1d62b-9f09-40ce-a1b1-8b5f78d91355,Person|Person,Johann Heinrich Lips|Anton von Maron,"Lips, Johann Heinrich|Maron, Anton von",printmaker|after,Swiss|Austrian,1758-01-01|1733-01-01,1817-01-01|1808-01-01,"Kloten (Zürich, Switzerland)|","Zurich (Zürich, Switzerland)|"
"John Trenchard, Esq.",1794,1794-01-01,1794-01-01,etching with aquatint,2006.83.10,cmoa:things/fe9ce268-ef08-4af0-a1a6-3b5f0a0d9b2c,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,11.0,14.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34311,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39225&size=Medium,cmoa:parties/bca9fc09-a0f9-416c-a422-73f18f0f093c|cmoa:parties/88230b29-bc9a-4360-b418-2fe2f534e2e4,Person|Person,Joseph Singleton|Ozias Humphrey,"Singleton, Joseph|Humphrey, Ozias",printmaker|after,undetermined|British,1785-01-01|1742-01-01,1800-01-01|1810-01-01,"| Honiton (Devon, England, United Kingdom)","| London (Greater London, England, United Kingdom)"
"Subscription ticket, Carlisle House masquerade",c. 1770-1780,1765-01-01,1780-01-01,engraving,2006.83.11,cmoa:things/c5c9a0a1-4c0c-4776-9eee-491a3a4fd67a,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,11.0,14.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34324,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39228&size=Medium,cmoa:parties/e1d7fb6f-7c5a-4209-ad08-ecde99b4311e,Person,William Sharp,"Sharp, William",printmaker,British,1749-01-01,1824-01-01,"London (Greater London, England, United Kingdom)","Chiswick (Greater London, England, United Kingdom)"
"John Stanley, Esq.",1781,1781-01-01,1781-01-01,stipple engraving,2006.83.13,cmoa:things/a7f552bf-ad8f-4950-a419-2f152f178c3f,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34329,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39236&size=Medium,cmoa:parties/14a68d8c-2e83-444d-b066-b643cae8f5d4|cmoa:parties/8969679a-64cd-4e1d-840d-f0c2043d164f,Person|Person,Mary Ann Rigg|Thomas Gainsborough,"Rigg, Mary Ann|Gainsborough, Thomas",printmaker|after,British|British,|1727-01-01,1785-01-01|1788-01-01,"| Sudbury (Suffolk, England, United Kingdom)","| London (Greater London, England, United Kingdom)"
Viola (from Twelfth Night),1790,1790-01-01,1790-01-01,stipple engraving,2006.83.14,cmoa:things/3a5a3eaa-e592-4d9d-ae87-495515a75aeb,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,11.0,15.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34331,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39244&size=Medium,cmoa:parties/79ee8e49-4fa5-48b2-89d8-840a009162ab|cmoa:parties/49533408-385b-4652-a76e-62c9b95cc0c9,Person|Person,Caroline Watson|Samuel Shelley,"Watson, Caroline|Shelley, Samuel",printmaker|after,British|English,1761-01-01|1750-01-01,1814-01-01|1808-01-01,"|London (Greater London, England, United Kingdom)","|London (Greater London, England, United Kingdom)"
"Josiah Wedgwood, Esq.",1795,1795-01-01,1795-01-01,stipple engraving,2006.83.16,cmoa:things/7c4ca4b7-2194-4fb4-88c6-16215b79acf0,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,12.0,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34334,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39272&size=Medium,cmoa:parties/53cd522e-7253-44a1-89d8-5981580f5525|cmoa:parties/aba5df30-332a-4433-9555-e17cd0a26adf,Person|Person,George Townley Stubbs|George Stubbs,"Stubbs, George Townley|Stubbs, George",printmaker|after,British|British,1756-01-01|1724-01-01,1815-01-01|1806-01-01,|,|
"John Dunning, 1st Baron Ashburton?",1787,1787-01-01,1787-01-01,stipple engraving,2006.83.17,cmoa:things/b0263665-ff8c-41a6-adcc-9caf1416201e,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,10.25,13.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34336,"Rolf and Magda Loeber, by February 2007; gift to Carnegie Museum of Art, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39274&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/009a6704-7930-4107-bed9-40acd19278bc,Person|Person,Francesco Bartolozzi|Sir Joshua Reynolds,"Bartolozzi, Francesco|Reynolds, Joshua",printmaker|after,Italian|British,1727-01-01|1723-07-16,1815-01-01|1792-02-23,"Florence (Firenze province, Tuscany, Italy)|Plympton, England","Lisbon (Distrito de Lisboa, Portugal)|London, England"
The Marriage of St. Catherine,1775,1775-01-01,1775-01-01,mezzotint engraving,2006.83.18,cmoa:things/817c2cc9-563b-4c92-a868-ffb13e0baabe,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,19.25,14.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34337,"Rolf and Magda Loeber, Pittsburgh; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104076&size=Medium,cmoa:parties/aecb1721-bc64-4cb2-b126-9357d4c963ce|cmoa:parties/1c5d22f1-b72d-438c-b66e-6816f07e44d4,Person|Person,Valentine Green|Camillo Procaccini,"Green, Valentine|Procaccini, Camillo",printmaker|after,English|Italian,1739-01-01|1540-01-01,1813-01-01|1629-01-01," Salford (Salford, England, United Kingdom)|"," London (Greater London, England, United Kingdom)|"
Inigo Jones,1811,1811-01-01,1811-01-01,mezzotint engraving,2006.83.19,cmoa:things/cedc668b-892b-4413-bfc0-cb89bc095f24,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34344,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=110914&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=39280&size=Medium,cmoa:parties/0ba15b87-03fe-4ada-bf28-ae6314207b99|cmoa:parties/210e1c56-9d71-42e3-8910-f04ec39e3393,Person|Person,Richard Earlom|Anthony van Dyck,"Earlom, Richard|Van Dyck, Anthony",printmaker|after,British|Flemish,1743-01-01|1599-01-01,1822-01-01|1641-01-01," London (Greater London, England, United Kingdom)|Antwerp (Antwerpen province, Flanders, Belgium)"," London (Greater London, England, United Kingdom)|London, England"
"Robert John Thornton, M.D.",1799,1799-01-01,1799-01-01,stipple engraving,2006.83.20,cmoa:things/377dd87e-51b3-485f-b265-993129bae9d0,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,20.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34354,"Rolf and Magda Loeber, by February 2007; gift to Carnegie Museum of Art, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39284&size=Medium,cmoa:parties/a202fc52-b50a-4e91-8787-31f247dd46a4|cmoa:parties/74d3101e-f468-403c-8bde-68511f6ad5e3,Person|Person,Francesco Bartolozzi|John Russell,"Bartolozzi, Francesco|Russell, John",printmaker|after,Italian|British,1727-01-01|1745-01-01,1815-01-01|1806-01-01,"Florence (Firenze province, Tuscany, Italy)|Guildford (Surrey, England, United Kingdom)","Lisbon (Distrito de Lisboa, Portugal)|Kingston-Upon-Hull (Kingston upon Hull, England, United Kingdom)"
"George Howard, 6th Earl of Carlisle",1787,1787-01-01,1787-01-01,engraving,2006.83.21,cmoa:things/a9d1fb6c-5363-4278-8be1-50a1350b78cc,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,20.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34356,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39286&size=Medium,cmoa:parties/ccf3cdb6-d67e-42da-9808-06b52fa61424|cmoa:parties/009a6704-7930-4107-bed9-40acd19278bc,Person|Person,Thomas Trotter|Sir Joshua Reynolds,"Trotter, Thomas|Reynolds, Joshua",printmaker|after,British|British,|1723-07-16,1803-01-01|1792-02-23,"London (Greater London, England, United Kingdom)|Plympton, England","London (Greater London, England, United Kingdom)|London, England"
Horace Beckford,1792,1792-01-01,1792-01-01,engraving,2006.83.22,cmoa:things/d4eef8a2-bbe6-4463-a12d-1c46a415334e,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,20.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34357,"Rolf and Magda Loeber, Pittsburgh, PA, by February 2007; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39290&size=Medium,cmoa:parties/663797e1-04bf-4085-8ee8-a672e58e8042|cmoa:parties/ea5a05ae-89ab-46b8-a7fc-45c8a38d78cf,Person|Person,Jean Condé|Richard Cosway,"Condé, Jean|Cosway, Richard",printmaker|after,French|British,1767-01-01|1742-01-01,1794-01-01|1821-01-01,"France| Devon (England, United Kingdom)","London, England| London (Greater London, England, United Kingdom)"
Sir William Robinson,c. 1770-1790,1760-01-01,1800-01-01,mezzotint engraving,2006.83.25,cmoa:things/4ccbb49e-5bf6-4213-97d1-870e73291ea2,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,20.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34363,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39297&size=Medium,cmoa:parties/a2502da4-0653-4daf-87a7-aa8217e9027a|cmoa:parties/4779cf8c-b2c1-4167-a8d4-41aacd02f353,Person|Person,James Watson|Reverend Matthew William Peters,"Watson, James|Peters, Reverend Matthew William",printmaker|after,Irish|British,1740-01-01|1742-01-01,1790-01-01|1814-03-20,"|Freshwater, Isle of Wight","|Brasted Place, Kent, England"
"The Honorable Robert Boyle, Esq.",c. 1732-1750,1722-01-01,1760-01-01,mezzotint engraving,2006.83.26,cmoa:things/69d8c048-4e23-49d4-aacc-87c0f28a31ec,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34365,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=100082&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=39299&size=Medium,cmoa:parties/3c27b2d4-f8a0-4c0b-8646-8db18f537320|cmoa:parties/2b40b407-80ac-446b-b8e9-1ecee97ed739,Person|Person,John Faber Jr.|Giovanni Battista Guelfi,"Faber, John Jr.|Guelfi, Giovanni Battista",artist|after,British|Italian,1684-01-01|1690-01-01,1756-01-01|1736-01-01,|,|
Sir Robert Fletcher,1774,1774-01-01,1774-01-01,mezzotint engraving,2006.83.27,cmoa:things/e487b7a5-a847-4754-b067-549c3efec240,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34368,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=94607&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=39428&size=Medium,cmoa:parties/cd949b92-748d-4456-88a9-f0617770c463|cmoa:parties/009a6704-7930-4107-bed9-40acd19278bc,Person|Person,William Dickinson|Sir Joshua Reynolds,"Dickinson, William|Reynolds, Joshua",printmaker|after,English|British,1736-01-01|1723-07-16,1823-01-01|1792-02-23,"London (Greater London, England, United Kingdom)|Plympton, England","Paris (Ville de Paris department, Île-de-France, France)|London, England"
Richard Thompson [Richard Tompson],c. 1693,1678-01-01,1708-01-01,mezzotint engraving,2006.83.28,cmoa:things/ca69457d-5340-4bb5-bef1-28602a1df5c6,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,8.25,10.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34369,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39429&size=Medium,cmoa:parties/5956d44b-f727-4332-8ea5-12d6b9d637f8|cmoa:parties/c414d3f9-f291-4206-b281-22454f430083,Person|Person,Francis Place|Gerard Soest,"Place, Francis|Soest, Gerard",printmaker|after,British|Dutch,1647-01-01|1590-01-01,1724-01-01|1681-01-01,|,|London
A Woman Plucking Fowl,c. 1750-1770,1740-01-01,1780-01-01,mezzotint engraving,2006.83.29,cmoa:things/3a506338-a02e-4700-85f5-96807df81e30,Gift of Rolf and Magda Loeber,2007-02-01,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=34371,"Rolf and Magda Loeber, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February 2007.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=39430&size=Medium,cmoa:parties/80e1fdac-4399-45b5-9463-ed47ef96316d|cmoa:parties/9ad7eee6-c0a1-4b32-b23b-529938123670,Person|Person,Richard Houston|Rembrandt Harmensz. van Rijn,"Houston, Richard|Rijn, Rembrandt Harmensz. van",printmaker|after,Irish|Dutch,1721-01-01|1606-01-01,1775-01-01|1669-01-01,"Dublin (County Dublin, Leinster, Republic of Ireland)|Leyden (South Holland, Netherlands)","London (Greater London, England, United Kingdom)|Amsterdam (North Holland, Netherlands)"
