song_title,lyrics
A Taste of Honey,"A Taste of Honey Lyrics[Intro]
A taste of honey!
Tasting much sweeter than wine

[Verse 1]
I dream of your first kiss, and then
I feel upon my lips again

[Chorus]
A taste of honey (A taste of honey)
Tasting much sweeter than wine
[Bridge]
I will return, yes I will return
I'll come back for the honey and you

[Verse 2]
Yours was the kiss that awoke my heart
There lingers still, though we're far apart

[Chorus]
A taste of honey (A taste of honey)
Tasting much sweeter than wine

[Bridge]
I will return, yes I will return
I'll come back (He'll come back) for the honey (For the honey) and youYou might also like4Embed"
There's a Place,"There’s a Place Lyrics[Verse 1]
There—
There's a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone

[Verse 2]
I think of you
And things you do
Go round my head
The things you said
Like ""I love only you""
[Bridge]
In my mind there's no sorrow
Don't you know that it's so
There'll be no sad tomorrow
Don't you know that it's so

[Verse 3]
There is a place
Where I can go
When I feel low
When I feel blue
And it's my mind
And there's no time when I'm alone

[Outro]
There's a place
There's a place
There's a place
There's a placeYou might also like4Embed"
Twist and Shout,"Twist and Shout Lyrics[Verse 1: John Lennon, Paul McCartney & George Harrison]
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)
Well, work it on out, honey (Work it on out)
You know you look so good (Look so good)
You know you got me goin', now (Got me goin')
Just like I knew you would (Like I knew you would)

[Verse 2: John Lennon, Paul McCartney & George Harrison]
Well, shake it up, baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)
[Guitar Solo: George Harrison]

[Verse 3: John Lennon, Paul McCartney & George Harrison]
Baby, now (Shake it up, baby)
Twist and shout (Twist and shout)
C'mon c'mon, c'mon, c'mon, baby, now (Come on, baby)
Come on and work it on out (Work it on out)
You know you twist your little girl (Twist, little girl)
You know you twist so fine (Twist so fine)
Come on and twist a little closer, now (Twist a little closer)
And let me know that you're mine (Let me know you're mine)

[Outro: John Lennon, Paul McCartney & George Harrison]
Well, shake it, shake it, shake it, baby, now (Shake it up, baby)
Well, shake it, shake it, shake it, baby, now (Shake it up, baby)
Well, shake it, shake it, shake it, baby, now (Shake it up, baby)You might also like14Embed"
It Won't Be Long,"It Won’t Be Long Lyrics[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you

[Verse 1]
Every night when everybody has fun
Here am I sitting all on my own

[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you
[Bridge]
Since you left me, I'm so alone
Now you're coming, you're coming on home
I'll be good like I know I should
You're coming home, you're coming home

[Verse 2]
Every night the tears come down from my eyes
Every day I've done nothing but cry

[Chorus]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah, yeah
It won't be long yeah, till I belong to you

[Bridge]
Since you left me, I'm so alone
Now you're coming, you're coming on home
I'll be good like I know I should
You're coming home, you're coming home

[Verse 3]
So every day we'll be happy I know
Now I know that you won't leave me no more

[Chorus/Outro]
It won't be long yeah, yeah, yeah
It won't be long yeah, yeah
It won't be long yeah, till I belong to youYou might also like2Embed"
All I've Got to Do,"All I’ve Got to Do Lyrics[Verse 1]
Whenever I want you around, yeah
All I got to do
Is call you on the phone
And you'll come running home
Yeah, that's all I got to do

[Verse 2]
And when I, I want to kiss you, yeah
All I got to do
Is whisper in your ear
The words you long to hear
And I'll be kissin' you
[Bridge]
And the same goes for me
Whenever you want me at all
I'll be here, yes, I will
Whenever you call
You just got to call on me, yeah
You just got to call on me

[Verse 2]
And when I, I want to kiss you, yeah
All I got to do
Is call you on the phone
And you'll come runnin' home
Yeah, that's all I got to do

[Bridge]
And the same goes for me
Whenever you want me at all
I'll be here, yes, I will
Whenever you call
You just got to call on me, yeah
You just got to call on meYou might also like6Embed"
All My Loving,"All My Loving Lyrics[Verse 1]
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

[Verse 2]
I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my loving to you
[Chorus 1]
All my loving I will send to you
All my loving, darling, I'll be true

[Verse 3]
Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

[Chorus 2]
All my loving I will send to you
All my loving, darling, I'll be true
All my loving, all my loving, ooh
All my loving I will send to youYou might also like12Embed"
Don't Bother Me,"Don’t Bother Me Lyrics[Verse 1]
Since she's been gone
I want no one to talk to me
It's not the same, but I'm to blame, it's plain to see
So go away, leave me alone
Don't bother me

[Verse 2]
I can't believe that she would leave me on my own
It's just not right, when every night I'm all alone
I've got no time for you right now
Don't bother me
[Bridge]
I know I'll never be the same
If I don't get her back again
Because I know she'll always be
The only girl for me

[Verse 3]
But till she's here
Please, don't come near, just stay away
I'll let you know when she's come home until that day
Don't come around, leave me alone
Don't bother me

[Guitar Solo]

[Refrain]
I've got no time for you right now
Don't bother me

[Bridge]
I know I'll never be the same
If I don't get her back again
Because I know she'll always be
The only girl for me

[Verse 3]
But till she's here
Please, don't come near, just stay away
I'll let you know when she's come home until that day
Don't come around, leave me alone
Don't bother me
You might also like[Outro]
Don't bother me
Don't bother me
Don't bother me
Don't bother me
Don't-2Embed"
Little Child,"Little Child Lyrics[Chorus]
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me

[Chorus]
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me
[Verse 1]
If you want someone
To make you feel so fine
Then we'll have some fun
When you're mine, all mine
So come, come on, come on

[Chorus]
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me

[Instrumental Break / Harmonica Solo]

[Verse 2]
When you're by my side
You're the only one
Don't you run and hide
Just come on, come on
Yeah come on, come on, come on

[Chorus]
Little child, little child
Little child, won't you dance with me?
I'm so sad and lonely
Baby take a chance with me (Oh yeah)
Baby take a chance with me (Oh yeah)
Baby take a chance with me (Oh yeah)You might also likeEmbed"
Till There Was You,"Till There Was You Lyrics[Verse 1]
There were bells on a hill
But I never heard them ringing
No, I never heard them at all
Till there was you

[Verse 2]
There were birds in the sky
But I never saw them winging
No, I never saw them at all
Till there was you
[Bridge]
Then there was music and wonderful roses
They tell me in sweet fragrant meadows
Of dawn and dew

[Verse 3]
There was love all around
But I never heard it singing
No, I never heard it at all
Till there was you

[Bridge]
Then there was music and wonderful roses
They tell me in sweet fragrant meadows
Of dawn and dew

[Verse 3]
There was love all around
But I never heard it singing
No, I never heard it at all
Till there was you

[Outro]
Till there was youYou might also like5Embed"
Please Mister Postman,"Please Mister Postman Lyrics[Intro]
(Wait!)
Oh yes, wait a minute, Mister Postman
(Wait!)
Wait, Mister Postman

[Chorus 1]
(Mister Postman, look and see)
Oh yeah!
(Is there a letter in your bag for me)
Please, please, Mister Postman
(I've been waiting a long, long time)
Oh yeah!
(Since I heard from that girl of mine)
[Verse 1]
There must be some word someday
From my girlfriend so far away
Please, Mister Postman look and see
If there's a letter, a letter for me
I've been standing here waiting, Mister Postman
So patiently
For just a card or just a letter
Saying she's returning home to me

[Chorus 2]
Please, Mister Postman!
(Mister Postman, look and see)
Oh yeah!
(Is there a letter in your bag for me)
Please, please, Mister Postman
(I've been waiting a long, long time)
Oh yeah!
(Since I heard from that girl of mine)

[Verse 2]
So many days you passed me by
See the tear standing in my eye
You didn't stop to make me feel better
By leaving me a card or a letter
You might also like[Chorus 3]
Mister Postman!
(Mister Postman, look and see)
Look and see
If there's a letter, oh yeah, for me
(Is there a letter in your bag for me)
I've been waiting such a long time
(I've been waiting a long, long time)
Since I heard from that girlfriend of mine
(Since I heard from that girl of mine)

[Outro]
You gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah, you got to
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)

Check it and see
One more time for me
You gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Mister Postman
(Wait a minute, wait a minute)
Oh yeah
(Mister Postman)

Deliver the letter, the sooner the better

You gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah!
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Ooh! (Oh yeah!) You gotta
(Mister Postman)
Wait a minute, wait a minute
(Wait a minute, wait a minute)
Oh yeah
(Mister Postman)

Gotta wait a minute, wait a minute
(Wait a minute, wait a minute)
Aah! (Oh yeah!) You gotta
Wait, wait a minute
(Oh yeah, ooh!)3Embed"
Roll Over Beethoven,"Roll Over Beethoven Lyrics[Verse 1: George Harrison]
Well, gonna write a little letter
Gonna mail it to my local DJ
It's a rocking little record
I want my jockey to play
Roll over Beethoven
Gotta hear it again today

[Verse 2: George Harrison]
You know my temperature's rising
And the jukebox blows a fuse
My heart's beating rhythm
And my soul keeps singing the blues
Roll over Beethoven
And tell Tchaikovsky the news
[Verse 3: George Harrison]
I've got a rocking pneumonia
I need a shot of rhythm and blues (Woo)
I think I caught off the writer
Sitting down by the rhythm revue
Roll over Beethoven
Rocking in two by two

[Verse 4: George Harrison]
Well if you feel it and like it
Well get your lover and reel and rock it
Roll it over and move on up
Just a trifle further and reel and rock it
Roll it over
Roll over Beethoven
Rocking in two by two (Woo)

[Guitar Solo: George Harrison]

[Verse 5: George Harrison]
Well early in the morning
I'm a-giving you the warning
Don't you step on my blue suede shoes
Hey diddle diddle
I'll play my fiddle
Ain't got nothing to lose
Roll over Beethoven
And tell Tchaikovsky the news
You might also like[Verse 6: George Harrison]
You know she wiggles like a glow worm
Dance like a spinning top
She's got a crazy partner
Oughta see 'em reel and rock
As long as she got a dime
The music will never stop

[Outro: George Harrison]
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Roll over Beethoven
Dig to these rhythm and blues4Embed"
Hold Me Tight,"Hold Me Tight Lyrics[Verse 1]
It feels so right now, hold me tight
Tell me I'm the only one, and then I might
Never be the lonely one
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you, you

[Verse 2]
Hold me tight
Let me go on loving you
Tonight, tonight
Making love to only you
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you
[Bridge]
You don't know
What it means to hold you tight
Being here alone tonight with you
It feels so right

[Verse 1]
Now hold me tight
Tell me I'm the only one
And then I might
Never be the lonely one
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you

[Bridge]
You don't know
What it means to hold you tight
Being here alone tonight with you
It feels so right

[Verse 2]
Now hold me tight
Let me go on loving you
Tonight tonight
Making love to only you
So hold (hold), me tight (me tight)
Tonight (tonight), tonight (tonight)
It's you, you, you, you, ooh-ooh, ooh-ooh
Oo-ooh, ooh-ooh
You, ooh-oohYou might also likeEmbed"
You Really Got a Hold on Me,"You Really Got a Hold on Me Lyrics[Verse 1]
I don't like you, but I love you
Seems that I'm always thinking of you
Oh, oh, oh
You treat me badly, I love you madly
You've really got a hold on me (You've really got a hold on me)
You've really got a hold on me (You've really got a hold on me), baby!

[Verse 2]
I don't want you, but I need you
Don't want to kiss you, but I need to
Oh, oh, oh
You do me wrong now, my love is strong now
You've really got a hold on me (You've really got a hold on me)
You've really got a hold on me (You've really got a hold on me), baby!
[Refrain]
I love you and all I want you to do
Is just hold me, hold me, hold me, hold me...
Tighter!
Tighter!

[Verse 3]
I want to leave you, don't want to stay here
Don't want to spend another day here
Oh, oh, oh
I want to split now, I just can't quit now
You've really got a hold on me (You've really got a hold on me)
You've really got a hold on me (You've really got a hold on me), baby! (baby!)

[Refrain]
I love you and all I want you to do
Is just hold me (Please), hold me (Squeeze), hold me, hold me...

[Outro]
You've really got a hold on me (You've really got a hold on me)
You've really got a hold on me (You've really got a hold on me)You might also likeEmbed"
I Wanna Be Your Man,"I Wanna Be Your Man Lyrics[Verse 1]
I wanna be your lover, baby
I wanna be your man
I wanna be your lover, baby
I wanna be your man
Love you like no other, baby
Like no other can
Love you like no other, baby
Like no other can

[Chorus]
I wanna be your man, I wanna be your man
I wanna be your man, I wanna be your man
[Verse 2]
Tell me that you love me, baby
Let me understand
Tell me that you love me, baby
I wanna be your man
I wanna be your lover baby
I wanna be your man
I wanna be your lover baby
I wanna be your man

[Chorus]
I wanna be your man, I wanna be your man
I wanna be your man, I wanna be your man

[Verse 1]
I wanna be your lover, baby
I wanna be your man
I wanna be your lover, baby
I wanna be your man
Love you like no other, baby
Like no other can
Love you like no other, baby
Like no other can

[Chorus]
I wanna be your man, I wanna be your man
I wanna be your man, I wanna be your man
You might also like[Outro]
I wanna be your man
Oh, I wanna be your man
Come on, I wanna be your man
Now let me be your man1Embed"
Devil in Her Heart,"Devil in Her Heart Lyrics[Chorus]
(She's got the devil in her heart)
But her eyes, they tantalize
(She's going to tear your heart apart)
Oh, her lips, they really thrill me

[Verse 1]
I'll take my chances, for romance is
So important to me
She'll never hurt me, she won't desert me
She's an angel sent to me
[Chorus]
(She's got the devil in her heart)
No, no, this I can't believe
(She's going to tear your heart apart)
No, no, nay will she deceive

[Verse 2]
I can't believe that she'll ever, ever go
Not when she hugs me and says she loves me so
She'll never hurt me, she won't desert me
Listen, can't you see?

[Chorus]
(She's got the devil in her heart)
Oh, no, no, no, this I can't believe
(She's going to tear your heart apart)
No, no, nay will she deceive

[Verse 3]
Don't take chances if your romance is
So important to you
She'll never hurt me, she won't desert me
She's an angel sent to me

[Chorus]
(She's got the devil in her heart)
No, no, no, no, this I can't believe
(She's going to tear your heart apart)
No, no, nay will she deceive
You might also like[Outro]
(She's got the devil in her heart)
'Cause she's an angel sent to me
(She's got the devil in her heart)
No, she's an angel sent to me3Embed"
Not a Second Time,"Not a Second Time Lyrics[Verse 1]
You know you made me cry
I see no use in wondering why
I cry for you

[Verse 2]
And now you've changed your mind
I see no reason to change mine
I cry it's through, oh

[Chorus]
You're giving me the same old line
I'm wondering why
You hurt me then
You're back again
No, no, no, not a second time
[Instrumental Chorus]

[Verse 1]
You know you made me cry
I see no use in wondering why
I cry for you

[Verse 2]
And now you've changed your mind
I see no reason to change mine
I cry it's through, oh

[Chorus]
You're giving me the same old line
I'm wondering why
You hurt me then
You're back again
No, no, no, not a second time

[Outro]
Not a second time
Not a second time
No no no no no
Not a second timeYou might also like1Embed"
Money (That's What I Want),"Money (That’s What I Want) Lyrics[Verse 1]
The best things in life are free
But you can keep 'em for the birds and bees

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want

[Verse 2]
Your lovin' gives me a thrill
But your lovin' don't pay my bills
[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, oh yeah (That's what I want)
That's what I want

[Verse 3]
Money don't get everything, it's true
What it don't get, I can't use

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want, whoa

[Verse 3]
Money don't get everything, it's true
What it don't get, I can't use

[Chorus]
Now, give me money (That's what I want)
That's what I want (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want
You might also like[Outro]
Well, now, give me money (That's what I want)
Whole lot of money (That's what I want)
Wow, yeah, I wanna be free (That's what I want)
Oh, a lot of money (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want
Well, now, give me money (That's what I want)
Whole lot of money (That's what I want)
Wow, yeah, you know I need money (That's what I want)
Oh, now, give me money (That's what I want)
That's what I want, yeah (That's what I want)
That's what I want1Embed"
